Company,White,Asian,Latino,Black_or_African_American,Other_minorities_rest,Others minorities,diff
Salesforce,67,24,4,2,3,2.84,0.16
Adobe,66,26,5,2,1,1.63,0.63
Airbnb,57,30,6,3,4,3.60,0.40
Apple,56,19,12,9,4,2.96,1.04
Cisco,54,36,5,3,2,1.32,0.68
eBay,53,39,4,2,2,1.42,0.58
Facebook,52,38,4,2,4,3.14,0.86
Google,57,33,5,2,3,2.17,0.83
HP Inc.,74,12,8,4,2,1.98,0.02
HPE,73,13,6,7,1,1.66,0.66
Intel,50,36,8,4,2,2.39,0.39
Intuit,54,30,8,4,4,3.45,0.55
LinkedIn,54,37,5,3,1,2.46,1.46
Lyft,64,18,7,7,4,3.77,0.23
Pinterest,50,40,4,2,4,4.34,0.34
MobileIron,52,38,6,2,2,2.37,0.37
Nvidia,43,52,3,1,1,0.69,0.31
Twitter,59,32,5,3,1,2.74,1.74
Square,60,24,6,5,5,4.62,0.38
23andMe,63,24,6,2,5,5.72,0.72
Uber,53,34,5,5,3,3.42,0.42
View,57,21,4,15,3,3.04,0.04
