Company,White,Asian,Latino,Black_or_African_American,Other_minorities_rest,Others minorities,diff
Facebook,52,38,4,2,4,3.15,0.85
HP Inc.,72,14,7,6,1,1.83,0.83
23andMe,63,24,6,2,5,5.72,0.72
Cisco,54,36,5,3,2,1.29,0.71
HPE,73,13,6,7,1,1.66,0.66
Pinterest,50,40,3,2,5,4.36,0.64
eBay,57,32,5,5,1,1.51,0.51
Adobe,67,25,5,2,1,1.48,0.48
Nvidia,43,52,3,1,1,0.58,0.42
Uber,53,34,5,5,3,3.42,0.42
Intuit,56,29,7,4,4,3.61,0.39
Square,60,24,6,5,5,4.62,0.38
LinkedIn,54,37,5,2,2,2.18,0.18
Intel,51,35,8,4,2,2.18,0.18
Google,58,33,5,2,2,2.18,0.18
Salesforce,67,24,4,2,3,2.83,0.17
View,58,20,4,15,3,2.83,0.17
Airbnb,58,28,7,3,4,3.88,0.12
Lyft,64,19,7,6,4,3.88,0.12
Apple,57,19,12,9,3,2.90,0.10
Twitter,59,32,4,2,3,2.91,0.09
MobileIron,54,37,5,2,2,1.98,0.02
